Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01/08/2026,01/08/2026,NEFT-RAZORPAY-setl_cf8fea27776c4c-674392738137,674392738137,0.00,4529.42,104529.42
02/08/2026,02/08/2026,NEFT-RAZORPAY-setl_e609bdfe6a0945-708037613917,708037613917,0.00,2339.89,106869.31
03/08/2026,03/08/2026,NEFT-RAZORPAY-setl_26afd3c0e8554d-466417592288,466417592288,0.00,2591.62,109460.93
04/08/2026,04/08/2026,NEFT-RAZORPAY-setl_5724a76c718d4e-137612103834,137612103834,0.00,4952.63,114413.56
05/08/2026,05/08/2026,NEFT-RAZORPAY-setl_963ca50e817b4e-502687854336,502687854336,0.00,1926.44,116340.00
06/08/2026,06/08/2026,NEFT-RAZORPAY-setl_40df792ef7d244-654462158472,654462158472,0.00,3999.99,120339.99
07/08/2026,07/08/2026,NEFT-RAZORPAY-setl_b6112d9a6dc843-124004479491,124004479491,0.00,359.63,120699.62
08/08/2026,08/08/2026,NEFT-RAZORPAY-setl_877e6226745841-385944607216,385944607216,0.00,2445.88,123145.50
09/08/2026,09/08/2026,NEFT-RAZORPAY-setl_b651d57a700346-341478122603,341478122603,0.00,653.97,123799.47
10/08/2026,10/08/2026,NEFT-RAZORPAY-setl_c2d12bc4e63145-459188046753,459188046753,0.00,5460.80,129260.27
11/08/2026,11/08/2026,NEFT-RAZORPAY-setl_eef9c3adac734f-460183098831,460183098831,0.00,2343.26,131603.53
12/08/2026,12/08/2026,NEFT-RAZORPAY-setl_d82181e5b5cb42-168520873795,168520873795,0.00,4603.31,136206.84
13/08/2026,13/08/2026,NEFT-RAZORPAY-setl_57a54a2697924b-901614940437,901614940437,0.00,3521.07,139727.91
14/08/2026,14/08/2026,NEFT-RAZORPAY-setl_070f0200600741-902332727475,902332727475,0.00,4091.37,143819.28
15/08/2026,15/08/2026,NEFT-RAZORPAY-setl_54665d952df442-726245227047,726245227047,0.00,3555.83,147375.11
01/08/2026,01/08/2026,NEFT-RAZORPAY-setl_d00661101e024b-472801059532,472801059532,0.00,3041.89,150417.00
02/08/2026,02/08/2026,NEFT-RAZORPAY-setl_cf7b8622d4794c-979729728512,979729728512,0.00,4159.98,154576.98
03/08/2026,03/08/2026,NEFT-RAZORPAY-setl_9e85c502e6bc49-488450785968,488450785968,0.00,5082.67,159659.65
04/08/2026,04/08/2026,NEFT-RAZORPAY-setl_af3669c74d8a4b-131556092495,131556092495,0.00,4937.16,164596.81
05/08/2026,05/08/2026,NEFT-RAZORPAY-setl_4e4068fd79444a-164715857397,164715857397,0.00,2366.27,166963.08
06/08/2026,06/08/2026,NEFT-RAZORPAY-setl_818e3419610142-751819319569,751819319569,0.00,2897.22,169860.30
07/08/2026,07/08/2026,NEFT-RAZORPAY-setl_15cc196dabc542-613239375703,613239375703,0.00,1574.78,171435.08
08/08/2026,08/08/2026,NEFT-RAZORPAY-setl_e7293361c20143-446144606470,446144606470,0.00,362.33,171797.41
09/08/2026,09/08/2026,NEFT-RAZORPAY-setl_e614f71c47914e-847155307843,847155307843,0.00,1723.49,173520.90
10/08/2026,10/08/2026,NEFT-RAZORPAY-setl_180d524de6ac46-363618874677,363618874677,0.00,4313.60,177834.50
11/08/2026,11/08/2026,NEFT-RAZORPAY-setl_636982df58b649-266529650430,266529650430,0.00,1726.89,179561.39
12/08/2026,12/08/2026,NEFT-RAZORPAY-setl_b31a062f7f664c-862514086781,862514086781,0.00,4827.03,184388.42
13/08/2026,13/08/2026,NEFT-RAZORPAY-setl_f218468fe22c4b-915303018920,915303018920,0.00,1343.36,185731.78
14/08/2026,14/08/2026,NEFT-RAZORPAY-setl_14cbe2685d7d41-590340101805,590340101805,0.00,4976.34,190708.12
15/08/2026,15/08/2026,NEFT-RAZORPAY-setl_71a05666425b42-472999454371,472999454371,0.00,462.09,191170.21
01/08/2026,01/08/2026,NEFT-RAZORPAY-setl_bbedc007027041-523979029558,523979029558,0.00,4028.68,195198.89
02/08/2026,02/08/2026,NEFT-RAZORPAY-setl_4dd6713a570d4c-695528195072,695528195072,0.00,2397.22,197596.11
03/08/2026,03/08/2026,NEFT-RAZORPAY-setl_8886e0a1f99b4f-791242420307,791242420307,0.00,651.44,198247.55
04/08/2026,04/08/2026,NEFT-RAZORPAY-setl_44c38242482747-922651614753,922651614753,0.00,4608.16,202855.71
05/08/2026,05/08/2026,NEFT-RAZORPAY-setl_75e0da874e9147-878900265613,878900265613,0.00,1763.48,204619.19
06/08/2026,06/08/2026,NEFT-RAZORPAY-setl_b749699925874b-131626586376,131626586376,0.00,5444.25,210063.44
07/08/2026,07/08/2026,NEFT-RAZORPAY-setl_6495556bae9149-280799741870,280799741870,0.00,760.91,210824.35
08/08/2026,08/08/2026,NEFT-RAZORPAY-setl_3c2ec1f3698147-989271293282,989271293282,0.00,2946.65,213771.00
09/08/2026,09/08/2026,NEFT-RAZORPAY-setl_9a516811547b48-223121467526,223121467526,0.00,4093.87,217864.87
10/08/2026,10/08/2026,NEFT-RAZORPAY-setl_2dac56a0254b4b-223914456336,223914456336,0.00,2277.98,220142.85
11/08/2026,11/08/2026,NEFT-RAZORPAY-setl_c6f2311d0d0545-495579460790,495579460790,0.00,2564.80,222707.65
12/08/2026,12/08/2026,NEFT-RAZORPAY-setl_188bc377fd5345-837525653919,837525653919,0.00,5574.48,228282.13
13/08/2026,13/08/2026,NEFT-RAZORPAY-setl_4cdaa8e082954b-661660193518,661660193518,0.00,1342.65,229624.78
14/08/2026,14/08/2026,NEFT-RAZORPAY-setl_6f752a9845504b-318900407782,318900407782,0.00,5033.30,234658.08
15/08/2026,15/08/2026,NEFT-RAZORPAY-setl_38be5889c5244e-355900048464,355900048464,0.00,1071.22,235729.30
01/08/2026,01/08/2026,NEFT-RAZORPAY-setl_42c01c1ab20848-656301189264,656301189264,0.00,1978.53,237707.83
02/08/2026,02/08/2026,NEFT-RAZORPAY-setl_e9d68f07441c46-464804436074,464804436074,0.00,2776.74,240484.57
03/08/2026,03/08/2026,NEFT-RAZORPAY-setl_00e99ab6439942-238227272744,238227272744,0.00,1338.06,241822.63
04/08/2026,04/08/2026,NEFT-RAZORPAY-setl_18ddf0f4b50645-902538256699,902538256699,0.00,2826.17,244648.80
05/08/2026,05/08/2026,NEFT-RAZORPAY-setl_b8358f98d7e543-479740642397,479740642397,0.00,5333.14,249981.94
18/08/2026,18/08/2026,NEFT-RAZORPAY-setl_934f1bd8d6514c-539356675191,539356675191,0.00,1352.26,251334.20
18/08/2026,18/08/2026,NEFT-RAZORPAY-setl_c3e8ac1eace147-560377952945,560377952945,0.00,899.83,252234.03
17/08/2026,17/08/2026,NEFT-RAZORPAY-setl_b758de8a9cfa4f-235736874160,235736874160,0.00,2146.91,254380.94
18/08/2026,18/08/2026,NEFT-RAZORPAY-setl_e35a2f6d4cfc47-385827601383,385827601383,0.00,2943.32,257324.26
19/08/2026,19/08/2026,NEFT-RAZORPAY-MULTIPLE-125249621719,125249621719,0.00,3456.45,260780.71
20/08/2026,20/08/2026,NEFT-RAZORPAY-MULTIPLE-561974170877,561974170877,0.00,3456.45,264237.16
21/08/2026,21/08/2026,NEFT-RAZP-120808921293,120808921293,0.00,1952.80,266189.96
21/08/2026,21/08/2026,NEFT-RAZP-219048670624,219048670624,0.00,2929.20,269119.16
22/08/2026,22/08/2026,NEFT-RAZP-386177447968,386177447968,0.00,1952.80,271071.96
22/08/2026,22/08/2026,NEFT-RAZP-210797130071,210797130071,0.00,2929.20,274001.16
23/08/2026,23/08/2026,NEFT-RAZORPAY-setl_da8e7d4bc9184a-217563359188,217563...,0.00,733.06,274734.22
24/08/2026,24/08/2026,NEFT-RAZORPAY-setl_71c407f2864d47-234339547867,234339...,0.00,954.50,275688.72
25/08/2026,25/08/2026,NEFT-RAZORPAY-setl_1cfc3b80f4de4c-754183677495,754183677495,0.00,1065.25,276753.97
26/08/2026,26/08/2026,NEFT-RAZORPAY-setl_215720a54f5e44-560426594610,560426594610,0.00,1065.25,277819.22
